description,predicted_category,industry,country,expected_pricing,marketing_budget,team_size,founder_experience,competition_level,expected_investment,success_score,success_label,revenue_y1,revenue_y2,revenue_y3,funding_readiness
A scalable autonomous drone navigation software for warehouse inventory management. utilizing modern tech.,AI,3,5,422.0,79282.0,18,6,2,25934.0,75.78091920206393,1,519677.42735817394,611927.7817704441,821044.1399032099,Medium
A user-friendly mobile marketplace for buying and selling verified pre-owned luxury goods. utilizing modern tech.,E-commerce,4,2,430.0,68228.0,5,15,0,315896.0,71.79325162445132,1,257007.80791360483,398455.9428252901,706666.3285461337,High
A cloud-based online education platform for children learning to code and build websites. utilizing modern tech.,EdTech,0,4,477.0,40772.0,12,13,2,70007.0,61.749765124546215,1,228088.1100671065,336787.66453117324,538094.9305602197,Medium
A scalable natural language processing api for summarizing legal documents and contracts. utilizing modern tech.,AI,3,3,188.0,91606.0,4,5,2,233006.0,38.03854671407481,0,354040.0905141757,445697.36956344004,605132.0081228244,Medium
A innovative biodegradable alternative packaging material made from seaweed fibers. utilizing modern tech.,Other,8,4,206.0,102372.0,12,15,1,81693.0,97.45445349650988,1,255463.9102123917,401623.6658152235,710645.5577441886,High
A scalable vertical farming startup growing pesticide-free leafy greens in urban centers. utilizing modern tech.,Agriculture,5,0,157.0,67475.0,4,1,1,296825.0,37.880904361797285,0,185698.18482669705,217221.3902033082,264073.2784760137,Medium
A innovative fractional real estate investing application using smart contracts. utilizing modern tech.,FinTech,2,2,273.0,89051.0,16,10,0,176485.0,85.04500679937557,1,556056.2486358923,837165.2459505482,1276599.3252009328,High
A cloud-based drone spectral analysis for early crop disease and weed identification. utilizing modern tech.,Agriculture,5,4,409.0,68030.0,7,1,1,375643.0,48.876857161441706,0,272357.84203902987,307857.19699199044,369158.61856647907,Medium
A fully-automated digital classroom software for teachers to manage student homework and online tests. utilizing modern tech.,EdTech,0,2,413.0,138746.0,15,8,0,289338.0,83.28384960943588,1,542030.6678985136,754227.2992250866,1161478.0732061977,High
A cloud-based generative ai tool for automated copywriting and content creation for social media. utilizing modern tech.,AI,3,1,391.0,48112.0,8,6,2,90169.0,54.59320694265077,1,244283.17798167712,296274.23143166973,421024.96896096837,Low
A user-friendly computer vision safety monitoring for industrial construction sites. utilizing modern tech.,AI,3,2,304.0,65182.0,2,15,2,250615.0,54.669465216428705,1,309519.2638471065,485172.6059043603,821479.9620158039,High
A innovative custom print-on-demand platform for independent artists and creators. utilizing modern tech.,E-commerce,4,3,334.0,53155.0,15,2,0,422193.0,73.23073329675182,1,520624.6690641931,621918.4845570333,786269.4682036968,High
A fully-automated digital health records management system for hospitals and local clinics. utilizing modern tech.,HealthTech,1,2,397.0,107914.0,10,5,1,223493.0,52.19532215033002,1,405235.10198171285,507371.95277643565,676814.4002639969,Medium
A fully-automated clean energy home battery systems storing excess solar power grid energy. utilizing modern tech.,Other,8,3,477.0,95809.0,20,7,2,50393.0,79.75532465976842,1,306291.7995729418,382605.7139642734,561987.4009437382,Medium
A innovative saas booking management platform for local boutique hotels and tour guides. utilizing modern tech.,Travel,6,1,468.0,126871.0,2,7,1,5656.0,54.55963213992258,1,186223.8156778924,256015.66250677497,404126.0350920846,Medium
A user-friendly local services app matching certified electricians and handymen. utilizing modern tech.,Other,8,2,393.0,142377.0,15,9,0,301695.0,92.70403624178371,1,369999.7975366303,529666.0409035524,821275.2043418132,High
A cloud-based automated personal budgeting app that tracks expenses and recommends investment portfolios. utilizing modern tech.,FinTech,2,0,478.0,123097.0,7,6,1,137010.0,74.18884855563489,1,313734.2223118296,394311.90466293175,561466.020335705,Medium
A next-generation mobile app containing courses and lectures on language learning with active ai tutoring. utilizing modern tech.,EdTech,0,2,144.0,107241.0,9,4,1,216127.0,59.51426729304855,1,357319.96151093894,412406.68559101695,566178.836462943,Medium
A cloud-based ai-driven automated feed system for livestock and poultry farms. utilizing modern tech.,Agriculture,5,5,465.0,102552.0,11,11,2,117248.0,72.99916090020261,1,299538.0055127511,405349.6146992873,663277.5322716015,Medium
A next-generation peer-to-peer campervan and rv rental marketplace for road trips. utilizing modern tech.,Travel,6,5,235.0,138621.0,4,11,2,143319.0,58.565101955222886,1,296456.39210767427,389984.7067166617,631706.3408373477,Medium
A next-generation marketplace connecting smallholder farmers directly to wholesale crop buyers. utilizing modern tech.,Agriculture,5,3,81.0,148232.0,11,7,0,84667.0,100.0,1,321347.925163,455494.3600560256,737707.6667692577,High
A scalable autonomous drone navigation software for warehouse inventory management. utilizing modern tech.,AI,3,2,195.0,10363.0,12,0,1,73251.0,50.764732671497505,1,216353.5184554747,251770.57938446972,301450.03944886086,Low
A cloud-based drone spectral analysis for early crop disease and weed identification. utilizing modern tech.,Agriculture,5,5,22.0,69878.0,9,5,2,308100.0,60.497276432841815,1,233860.86820056944,278625.7022425783,382335.3781556862,Medium
A next-generation digital health records management system for hospitals and local clinics. utilizing modern tech.,HealthTech,1,4,452.0,105381.0,20,8,1,360014.0,70.10730304020838,1,615671.2784466435,843301.7174837096,1195176.6601075807,High
A innovative generative ai tool for automated copywriting and content creation for social media. utilizing modern tech.,AI,3,3,342.0,142568.0,12,9,0,357411.0,99.19443986554997,1,802525.868113488,1158780.2286250263,1801869.155735452,High
A next-generation saas platform for hosting and managing esports tournaments online. utilizing modern tech.,Gaming,7,5,332.0,34967.0,9,10,1,416721.0,72.05878280118324,1,306809.6009901929,447703.0557737376,698818.5036951929,High
A next-generation biodegradable alternative packaging material made from seaweed fibers. utilizing modern tech.,Other,8,4,182.0,18262.0,17,14,0,353959.0,90.31329555810241,1,318153.2548164563,494011.276389148,849677.9376383502,High
A cloud-based saas booking management platform for local boutique hotels and tour guides. utilizing modern tech.,Travel,6,4,453.0,99580.0,19,4,0,481118.0,72.22145685612877,1,510855.5315887936,641576.4866771287,914448.6397151444,High
A fully-automated virtual reality simulations for science lab experiments in universities. utilizing modern tech.,EdTech,0,5,293.0,145398.0,20,5,0,168244.0,77.8750758172705,1,510107.7546409621,658727.8280821765,883863.7625286087,Medium
A scalable deep learning neural network for predicting supply chain disruptions in shipping. utilizing modern tech.,AI,3,0,278.0,66749.0,6,15,2,276534.0,56.22492989042706,1,406970.90826719353,606289.0357265047,1033724.7326825975,High
A next-generation marketplace connecting smallholder farmers directly to wholesale crop buyers. utilizing modern tech.,Agriculture,5,5,366.0,1526.0,4,14,0,479619.0,70.36679620261361,1,199095.6643501622,308064.7378575373,538987.8807921213,High
A scalable mobile marketplace for buying and selling verified pre-owned luxury goods. utilizing modern tech.,E-commerce,4,3,112.0,97204.0,16,7,1,322810.0,69.86277586402504,1,500430.28474327666,651762.0169584146,885921.7904003111,High
A cloud-based gamified flight ticket search engine tracking lowest airline prices. utilizing modern tech.,Travel,6,2,242.0,85635.0,8,8,0,371324.0,75.67106213922459,1,383087.5793871821,527139.3531154598,798867.1318282604,High
A innovative direct-to-consumer sustainable clothing marketplace matching local designers. utilizing modern tech.,E-commerce,4,0,71.0,106018.0,11,14,1,192217.0,96.12023479904863,1,417377.83790752187,659350.074430754,1157147.2354077024,High
A cloud-based mobile strategy game combining base building and real-time defense. utilizing modern tech.,Gaming,7,2,318.0,96563.0,16,3,2,157249.0,43.97594855949356,0,407167.0395371024,485320.76062013465,622890.8971297368,Low
A cloud-based mobile app containing courses and lectures on language learning with active ai tutoring. utilizing modern tech.,EdTech,0,0,37.0,82317.0,6,13,0,157503.0,88.73165050380614,1,254720.9391512825,406830.80919916945,710220.3530800361,High
A innovative online education platform for children learning to code and build websites. utilizing modern tech.,EdTech,0,5,439.0,67426.0,9,12,1,87797.0,75.49984927905929,1,222967.22557793165,338595.4040012385,536491.1067224887,High
A user-friendly mobile app containing courses and lectures on language learning with active ai tutoring. utilizing modern tech.,EdTech,0,4,283.0,20684.0,11,1,2,41746.0,43.48492810725446,0,216459.32648741116,245402.6249188148,282056.3940071521,Low
A cloud-based digital classroom software for teachers to manage student homework and online tests. utilizing modern tech.,EdTech,0,0,313.0,48630.0,12,15,1,381433.0,68.9117281535164,1,364798.7601714531,550583.7661272315,985864.0182395251,High
A user-friendly computer vision safety monitoring for industrial construction sites. utilizing modern tech.,AI,3,0,174.0,100734.0,17,2,1,450888.0,65.4797186683531,1,674550.1829058061,819027.2743778697,992591.9252291352,High
A next-generation clean energy home battery systems storing excess solar power grid energy. utilizing modern tech.,Other,8,3,44.0,142991.0,10,0,0,96191.0,71.7382816673766,1,201576.3291317923,214600.14323243647,254067.30033532134,Low
A cloud-based ai-driven automated feed system for livestock and poultry farms. utilizing modern tech.,Agriculture,5,5,19.0,48100.0,3,13,0,146923.0,72.8798292259692,1,124917.72349628899,200414.65881440308,343301.80205851863,High
A scalable fractional real estate investing application using smart contracts. utilizing modern tech.,FinTech,2,4,102.0,140140.0,9,12,2,321365.0,75.78869705987414,1,598921.4476845872,880499.4578915343,1440986.7091258771,High
A cloud-based saas platform for hosting and managing esports tournaments online. utilizing modern tech.,Gaming,7,1,197.0,36138.0,17,5,2,463664.0,42.27981055774008,0,411384.4735872782,472065.31095528614,599021.7741691612,Medium
A cloud-based blockchain-based secure payment gateway for high-volume cross-border transactions. utilizing modern tech.,FinTech,2,0,31.0,64151.0,4,14,1,68583.0,79.7557184581287,1,226733.66768425234,349164.16663194215,572980.1406776044,High
A fully-automated mental health counseling chatbot providing cbt exercises and mood tracking. utilizing modern tech.,HealthTech,1,1,181.0,112767.0,15,14,0,240791.0,86.87102584131185,1,527207.7934052689,792868.9197542089,1391563.538558102,High
A user-friendly peer-to-peer crypto invoice discounting and credit scoring application. utilizing modern tech.,FinTech,2,0,16.0,131140.0,20,15,0,32662.0,100.0,1,608192.3392245213,955870.3743463237,1634507.2880252656,High
A cloud-based mobile marketplace for buying and selling verified pre-owned luxury goods. utilizing modern tech.,E-commerce,4,3,328.0,135603.0,4,4,2,317976.0,34.75023362250498,0,413502.1495112917,518315.59260055225,628713.9219637646,Medium
A cloud-based mobile strategy game combining base building and real-time defense. utilizing modern tech.,Gaming,7,2,490.0,24996.0,17,5,0,73248.0,70.17435689265616,1,286341.9461251763,380151.3199595889,493623.27632617805,Medium
A cloud-based biodegradable alternative packaging material made from seaweed fibers. utilizing modern tech.,Other,8,1,249.0,115865.0,13,6,0,135483.0,77.4853436205418,1,278350.57769762026,376235.0575201955,545743.3827165475,Medium
A cloud-based telemedicine app connecting remote patients with general physicians and specialists. utilizing modern tech.,HealthTech,1,4,236.0,117350.0,7,8,0,190613.0,86.54400475108889,1,418958.381059102,583958.7836345701,895574.2682500643,High
A next-generation biodegradable alternative packaging material made from seaweed fibers. utilizing modern tech.,Other,8,2,432.0,66039.0,13,1,1,250326.0,66.36003295686442,1,233980.61857656442,269578.55537841766,326886.9215724198,Medium
A user-friendly luggage shipping and storage network for frequent business travelers. utilizing modern tech.,Travel,6,4,252.0,148677.0,12,3,0,479489.0,64.02046523851595,1,524201.7348979281,638367.870335331,858929.9903713161,High
A next-generation gamified flight ticket search engine tracking lowest airline prices. utilizing modern tech.,Travel,6,1,334.0,21992.0,8,14,2,215798.0,62.119402297543104,1,230223.28148860118,342152.2907604389,587125.0821555895,High
A scalable mobile marketplace for buying and selling verified pre-owned luxury goods. utilizing modern tech.,E-commerce,4,5,313.0,103996.0,14,6,1,137389.0,73.14881239878856,1,387225.5461540794,479302.91657435405,645020.0882859828,Medium
A scalable mobile marketplace for buying and selling verified pre-owned luxury goods. utilizing modern tech.,E-commerce,4,2,71.0,26109.0,3,12,1,77464.0,83.42253205292744,1,117166.86747114916,170847.25447803532,286137.17925914103,High
A scalable autonomous drone navigation software for warehouse inventory management. utilizing modern tech.,AI,3,5,24.0,16471.0,5,12,0,405246.0,73.5225523921788,1,345528.3976109495,493080.32277769566,865650.5233262494,High
A user-friendly custom print-on-demand platform for independent artists and creators. utilizing modern tech.,E-commerce,4,0,162.0,85324.0,4,15,2,272902.0,61.25879797119427,1,259715.04660747183,391148.4571917524,705352.5342689513,High
A scalable vertical farming startup growing pesticide-free leafy greens in urban centers. utilizing modern tech.,Agriculture,5,4,11.0,22961.0,12,13,2,438500.0,46.69010783774762,0,276319.40651670925,412745.3297501733,663747.5593452649,High
A cloud-based fitness tracker and personalized nutrition planner using biological metrics. utilizing modern tech.,HealthTech,1,4,334.0,108818.0,18,0,2,264167.0,33.29911673480125,0,510403.6753309798,553014.9046870174,608316.3951557192,Low
A user-friendly mobile marketplace for buying and selling verified pre-owned luxury goods. utilizing modern tech.,E-commerce,4,4,425.0,4640.0,2,7,0,369609.0,55.04309314147065,1,180174.47663041356,252407.29889080205,382097.1755586289,High
A cloud-based interactive school platform for students to practice mathematics and physics online. utilizing modern tech.,EdTech,0,3,321.0,127499.0,8,8,2,466448.0,56.850854320826215,1,401082.4953816652,539696.1997455204,772287.3718995424,High
A next-generation deep learning neural network for predicting supply chain disruptions in shipping. utilizing modern tech.,AI,3,3,280.0,59252.0,4,12,0,457475.0,69.74590685646736,1,298001.29844857164,426308.25783640455,707077.5476954093,High
A user-friendly clean energy home battery systems storing excess solar power grid energy. utilizing modern tech.,Other,8,3,26.0,60991.0,6,0,2,268900.0,24.34646821703229,0,180506.72274864675,189532.0588860791,208485.264774687,Low
A fully-automated blockchain-based secure payment gateway for high-volume cross-border transactions. utilizing modern tech.,FinTech,2,5,478.0,100691.0,5,14,1,83039.0,80.65982164482797,1,294926.73352093616,438898.221263693,746946.7187936875,High
A next-generation saas platform for hosting and managing esports tournaments online. utilizing modern tech.,Gaming,7,4,10.0,76755.0,5,6,0,244464.0,61.513005068775286,1,276409.53628624044,349820.83509112074,509971.6241892052,High
A innovative telemedicine app connecting remote patients with general physicians and specialists. utilizing modern tech.,HealthTech,1,3,128.0,130455.0,12,9,1,82523.0,100.0,1,470191.14215024305,671001.3458875943,1006159.3214981133,High
A next-generation digital health records management system for hospitals and local clinics. utilizing modern tech.,HealthTech,1,2,47.0,107636.0,9,11,2,392933.0,59.4533222130204,1,476518.9929587055,631734.2118216929,968634.8311416218,High
A fully-automated mental health counseling chatbot providing cbt exercises and mood tracking. utilizing modern tech.,HealthTech,1,2,39.0,88038.0,12,3,0,489800.0,54.903107095230595,1,647227.2098980398,769624.5310492314,944083.3687709047,High
A cloud-based mobile app containing courses and lectures on language learning with active ai tutoring. utilizing modern tech.,EdTech,0,5,391.0,5973.0,8,7,0,229037.0,64.1068667146525,1,200093.34903608635,265903.8400094922,415276.91472371336,High
A innovative drone spectral analysis for early crop disease and weed identification. utilizing modern tech.,Agriculture,5,3,436.0,18729.0,19,15,2,324603.0,67.68625341600458,1,303695.44607337157,430943.4259055526,747914.5327845239,High
A user-friendly indie retro adventure game featuring physics-based puzzles and open worlds. utilizing modern tech.,Gaming,7,2,393.0,141844.0,2,8,0,345774.0,61.69965412620685,1,327544.6914365806,471238.4850212503,700381.9430051866,High
A cloud-based custom print-on-demand platform for independent artists and creators. utilizing modern tech.,E-commerce,4,1,212.0,10840.0,1,5,1,454834.0,44.65425675502572,0,191060.86469072546,238903.08453141083,336863.19203308085,High
A cloud-based computer vision safety monitoring for industrial construction sites. utilizing modern tech.,AI,3,2,484.0,125609.0,19,7,1,497842.0,81.54520824893866,1,922491.061096339,1236062.3930423316,1872258.270008956,High
A fully-automated smart iot soil sensors and weather monitoring system for precision irrigation. utilizing modern tech.,Agriculture,5,5,466.0,68994.0,17,2,2,37273.0,53.012071219970565,1,263803.12458918476,285036.8315745691,339640.7773383968,Low
A innovative online education platform for children learning to code and build websites. utilizing modern tech.,EdTech,0,1,446.0,18317.0,9,5,2,133829.0,37.54653780270225,0,235672.15657220574,292850.6369910227,383864.1434516896,Low
A innovative automated personal budgeting app that tracks expenses and recommends investment portfolios. utilizing modern tech.,FinTech,2,4,178.0,144638.0,8,12,2,497626.0,55.41038172401002,1,661509.0581385545,916280.1499251543,1430557.2643476871,High
A innovative virtual reality simulations for science lab experiments in universities. utilizing modern tech.,EdTech,0,2,11.0,37501.0,11,10,1,21050.0,100.0,1,254522.47037302848,356596.3304062379,513235.6709376867,High
A cloud-based mental health counseling chatbot providing cbt exercises and mood tracking. utilizing modern tech.,HealthTech,1,5,295.0,99298.0,2,5,2,68057.0,47.82045596078193,0,255598.80118451698,316187.98638963274,411554.4040645598,Low
A next-generation local services app matching certified electricians and handymen. utilizing modern tech.,Other,8,0,59.0,118373.0,14,10,0,484168.0,73.57997000357624,1,401957.8076962228,602430.6021822301,989715.8998975398,High
A scalable mental health counseling chatbot providing cbt exercises and mood tracking. utilizing modern tech.,HealthTech,1,1,153.0,86399.0,4,7,0,309633.0,56.42804603820116,1,329868.2026200639,442497.1507561608,665144.9311672273,High
A scalable peer-to-peer crypto invoice discounting and credit scoring application. utilizing modern tech.,FinTech,2,5,349.0,126497.0,7,1,2,120103.0,50.12141774777738,1,481420.21701285266,505491.2278634953,569336.3873120713,Low
A scalable mobile marketplace for buying and selling verified pre-owned luxury goods. utilizing modern tech.,E-commerce,4,3,234.0,147962.0,3,2,2,302879.0,20.218605187266373,0,490905.39033314376,577703.114095725,715303.1065303463,Low
A next-generation blockchain-based secure payment gateway for high-volume cross-border transactions. utilizing modern tech.,FinTech,2,3,117.0,54918.0,15,15,0,287730.0,87.30286188900041,1,396040.4175509581,604728.3590159663,1126018.7487033198,High
A scalable ai-powered medical imaging diagnostics tool for early cancer detection. utilizing modern tech.,HealthTech,1,3,192.0,11027.0,18,4,0,66941.0,57.90964162830369,1,361161.37152867584,457673.6571231095,593214.4394198352,Medium
A innovative gamified flight ticket search engine tracking lowest airline prices. utilizing modern tech.,Travel,6,3,132.0,36779.0,6,11,0,233804.0,85.25037235502364,1,211335.99658621725,316430.3783241432,553983.083740931,High
A fully-automated saas booking management platform for local boutique hotels and tour guides. utilizing modern tech.,Travel,6,1,209.0,79282.0,1,5,1,496153.0,32.38745330826294,0,303479.16318998043,380094.00990775065,506224.31387311016,High
A scalable blockchain-based secure payment gateway for high-volume cross-border transactions. utilizing modern tech.,FinTech,2,1,194.0,35832.0,1,14,2,54955.0,81.89217670863876,1,131881.4237217001,189305.19345116778,335806.3032231166,High
A scalable local services app matching certified electricians and handymen. utilizing modern tech.,Other,8,1,379.0,48004.0,17,7,1,150673.0,78.07305522002942,1,282517.77971764875,379400.8649872529,567756.7438151066,Medium
A scalable digital health records management system for hospitals and local clinics. utilizing modern tech.,HealthTech,1,0,323.0,12365.0,9,1,2,139199.0,30.80403978933839,0,245820.8685858372,279296.67807427776,342157.17052283423,Low
A user-friendly automated dropshipping software tool for shopify store operators. utilizing modern tech.,E-commerce,4,0,35.0,140732.0,4,10,1,41555.0,79.58327835959417,1,289759.74362868426,425291.3232373075,673386.6409616984,Medium
A user-friendly online education platform for children learning to code and build websites. utilizing modern tech.,EdTech,0,5,147.0,132865.0,2,9,1,30400.0,72.5366813405545,1,210148.74806832246,280498.1534216258,423651.46382608,Medium
A fully-automated deep learning neural network for predicting supply chain disruptions in shipping. utilizing modern tech.,AI,3,1,407.0,101640.0,14,2,1,246460.0,56.611395320850065,1,605315.9859117466,679845.1236114077,851725.1634900201,Medium
A fully-automated ai itinerary planner generating custom travel guides based on user interests. utilizing modern tech.,Travel,6,4,104.0,77958.0,5,4,1,308026.0,35.39755685572409,0,251341.81168258388,324738.68121730763,441670.8992176711,Medium
A user-friendly automated personal budgeting app that tracks expenses and recommends investment portfolios. utilizing modern tech.,FinTech,2,2,134.0,17003.0,13,12,1,94596.0,81.44998719190913,1,291356.28893637285,435985.77727372857,696095.2195933636,High
A scalable biodegradable alternative packaging material made from seaweed fibers. utilizing modern tech.,Other,8,2,65.0,17218.0,9,9,1,407190.0,75.28958523637436,1,235949.32523777342,337593.7451799911,540249.4262770117,High
A scalable virtual reality simulations for science lab experiments in universities. utilizing modern tech.,EdTech,0,2,227.0,148217.0,10,10,0,460932.0,100.0,1,574534.2263021554,818546.9911743015,1344815.856897415,High
A fully-automated digital classroom software for teachers to manage student homework and online tests. utilizing modern tech.,EdTech,0,1,99.0,27010.0,5,7,2,201065.0,58.262367580524746,1,202023.80015975016,267093.22875435255,381679.01126462425,Medium
A cloud-based automated personal budgeting app that tracks expenses and recommends investment portfolios. utilizing modern tech.,FinTech,2,3,152.0,53637.0,4,11,2,499584.0,48.48258339680126,0,383910.6754267366,534747.6741004974,865130.1097797494,High
A fully-automated mobile marketplace for buying and selling verified pre-owned luxury goods. utilizing modern tech.,E-commerce,4,4,488.0,113525.0,20,4,1,163511.0,64.43300759598264,1,502586.8509067555,629718.192564666,849858.9705210032,Medium
A innovative generative ai tool for automated copywriting and content creation for social media. utilizing modern tech.,AI,3,0,499.0,26647.0,15,5,1,331385.0,66.09851338588463,1,441715.2698503392,543374.217941151,797261.9347729778,High
A innovative marketplace connecting smallholder farmers directly to wholesale crop buyers. utilizing modern tech.,Agriculture,5,3,471.0,131178.0,12,9,1,233326.0,73.63295509684536,1,323159.5689283485,425949.3794831304,605847.5346665909,High
A user-friendly indie retro adventure game featuring physics-based puzzles and open worlds. utilizing modern tech.,Gaming,7,3,246.0,101828.0,19,15,0,55937.0,100.0,1,413350.72737966443,659325.5880788496,1198086.5059876586,High
A fully-automated clean energy home battery systems storing excess solar power grid energy. utilizing modern tech.,Other,8,5,335.0,5449.0,9,13,2,108637.0,51.694897116406246,1,124410.6182039162,165611.50600221785,271822.5392668292,Medium
A next-generation blockchain-based secure payment gateway for high-volume cross-border transactions. utilizing modern tech.,FinTech,2,0,17.0,138288.0,15,13,1,319423.0,92.57378422896416,1,688665.5657278467,1036362.5006812024,1707028.2595677709,High
A scalable ai itinerary planner generating custom travel guides based on user interests. utilizing modern tech.,Travel,6,1,140.0,49095.0,11,14,2,161478.0,69.4709312725039,1,289516.7218699977,428539.4981754762,707343.0345795122,High
A scalable blockchain-based secure payment gateway for high-volume cross-border transactions. utilizing modern tech.,FinTech,2,2,131.0,77497.0,2,15,2,208736.0,65.01332344357078,1,232824.83863332836,371255.87895254546,668701.7306669063,High
A next-generation saas platform for hosting and managing esports tournaments online. utilizing modern tech.,Gaming,7,1,128.0,108704.0,16,4,1,46689.0,65.49726212076361,1,337705.54023066146,379819.2295494869,535923.3550620449,Low
A user-friendly digital classroom software for teachers to manage student homework and online tests. utilizing modern tech.,EdTech,0,1,195.0,18938.0,1,14,2,442264.0,43.965173104037234,0,174119.32169644977,260172.71361872237,438959.1062853037,High
A innovative gamified flight ticket search engine tracking lowest airline prices. utilizing modern tech.,Travel,6,1,120.0,14007.0,12,9,2,93532.0,70.40035238870752,1,181902.37592293366,229028.2712890746,342005.9376875203,Medium
A fully-automated virtual reality simulations for science lab experiments in universities. utilizing modern tech.,EdTech,0,1,348.0,138663.0,7,3,1,232493.0,60.99148334705025,1,308751.6121823478,361887.8373994992,458828.7188432487,Medium
A next-generation smart iot soil sensors and weather monitoring system for precision irrigation. utilizing modern tech.,Agriculture,5,0,235.0,18820.0,18,8,1,37859.0,71.55051833046852,1,289509.9361300769,397754.59361490357,592783.1288193967,Medium
A innovative fractional real estate investing application using smart contracts. utilizing modern tech.,FinTech,2,2,137.0,18314.0,20,2,1,125638.0,58.39184811538078,1,361987.35253043927,409320.860894127,482313.4396172414,Low
A next-generation ai-driven automated feed system for livestock and poultry farms. utilizing modern tech.,Agriculture,5,4,68.0,38467.0,5,3,2,341468.0,28.83287874543158,0,206538.75180758274,231920.26481327103,279622.05719491106,Medium
A fully-automated saas booking management platform for local boutique hotels and tour guides. utilizing modern tech.,Travel,6,5,320.0,144811.0,8,10,0,408324.0,88.64853052945692,1,442430.59902985086,625331.0468817304,1004073.7082794507,High
A innovative smart iot soil sensors and weather monitoring system for precision irrigation. utilizing modern tech.,Agriculture,5,3,267.0,99700.0,20,4,0,330845.0,76.30565071888012,1,429938.5641156287,553993.7513850746,734822.788330353,High
A fully-automated ai-powered medical imaging diagnostics tool for early cancer detection. utilizing modern tech.,HealthTech,1,0,440.0,41185.0,16,6,1,315974.0,59.79071633292089,1,449165.75955871586,569435.2043582698,776236.6748264094,High
A cloud-based multiplayer cloud gaming network streaming games directly to smart tvs. utilizing modern tech.,Gaming,7,4,215.0,31975.0,16,0,2,138634.0,34.670563137871866,0,354042.4632051496,394179.6036188492,440806.1250377695,Low
A next-generation smart water purification system for residential properties. utilizing modern tech.,Other,8,1,444.0,16649.0,7,4,2,138132.0,14.427568566053793,0,115732.76073057628,143684.80100265853,177244.00238069159,Low
A fully-automated biodegradable alternative packaging material made from seaweed fibers. utilizing modern tech.,Other,8,4,357.0,83404.0,17,9,1,37619.0,81.64673890555116,1,261052.59136626843,368529.22490589437,560256.8655239809,Medium
A cloud-based mobile app containing courses and lectures on language learning with active ai tutoring. utilizing modern tech.,EdTech,0,1,155.0,1832.0,15,4,1,200696.0,51.50234121549295,1,247140.94482849198,299729.26902154565,368667.32592252985,Medium
A next-generation blockchain-based secure payment gateway for high-volume cross-border transactions. utilizing modern tech.,FinTech,2,1,317.0,7556.0,1,14,1,63319.0,52.56445687489477,1,74503.27951841972,115851.6358108062,192158.63569599972,High
A scalable local services app matching certified electricians and handymen. utilizing modern tech.,Other,8,0,119.0,55651.0,2,7,2,232125.0,53.024569611970314,1,124795.71118696283,165599.6839242132,227843.63891126157,Medium
A next-generation saas booking management platform for local boutique hotels and tour guides. utilizing modern tech.,Travel,6,5,357.0,3603.0,16,11,2,41567.0,57.455582605524604,1,239012.08452652016,332512.42591051286,542893.9545165147,Medium
A innovative vr multiplayer physics sandbox game set in outer space. utilizing modern tech.,Gaming,7,0,394.0,130134.0,17,5,1,323390.0,68.27496687561391,1,563075.077353933,693072.9786517578,960152.2616983071,High
A fully-automated ai itinerary planner generating custom travel guides based on user interests. utilizing modern tech.,Travel,6,5,217.0,115266.0,18,6,2,169464.0,58.49265525895562,1,401106.24096931255,520931.67935899383,716888.5394078051,Medium
A next-generation mobile marketplace for buying and selling verified pre-owned luxury goods. utilizing modern tech.,E-commerce,4,1,426.0,25793.0,5,3,2,126387.0,36.05830933392053,0,178631.41509226774,193422.79904986246,225731.64971228418,Low
A next-generation mobile strategy game combining base building and real-time defense. utilizing modern tech.,Gaming,7,3,488.0,91007.0,17,4,0,261767.0,85.97704425848771,1,507668.95083371515,635219.9914585896,849729.9078515428,High
A innovative smart water purification system for residential properties. utilizing modern tech.,Other,8,2,453.0,138810.0,12,2,1,301703.0,61.50901604949852,1,351969.7647120019,399980.8670286851,499502.91421392944,Medium
A user-friendly natural language processing api for summarizing legal documents and contracts. utilizing modern tech.,AI,3,4,104.0,105097.0,17,0,2,278015.0,30.484998746210604,0,658400.9228916522,691320.9690362349,760453.0659398584,Low
A innovative autonomous drone navigation software for warehouse inventory management. utilizing modern tech.,AI,3,2,284.0,53059.0,18,3,1,143359.0,63.60431640374392,1,405890.8159288456,452661.63385293545,547212.6346698795,Medium
A fully-automated mobile app containing courses and lectures on language learning with active ai tutoring. utilizing modern tech.,EdTech,0,0,69.0,101602.0,19,11,2,248842.0,75.89211937173543,1,544845.3851811088,747628.0341018842,1204199.2592681851,High
A fully-automated marketplace connecting smallholder farmers directly to wholesale crop buyers. utilizing modern tech.,Agriculture,5,0,51.0,77055.0,2,9,0,415179.0,73.13217938171971,1,239990.20646605326,343771.86352608155,560809.3033406385,High
A innovative peer-to-peer crypto invoice discounting and credit scoring application. utilizing modern tech.,FinTech,2,5,236.0,29513.0,2,9,2,271003.0,34.73084278743224,0,204810.16048591345,274657.9902283103,411185.13622396573,Medium
A innovative gamified flight ticket search engine tracking lowest airline prices. utilizing modern tech.,Travel,6,5,338.0,19686.0,6,8,1,106484.0,56.95221147780359,1,146303.23929830565,193482.0846362913,281708.67816174566,Medium
A scalable clean energy home battery systems storing excess solar power grid energy. utilizing modern tech.,Other,8,3,398.0,67470.0,9,2,1,439411.0,53.24817948875213,1,256916.54819731333,303553.5668093157,397979.32301965985,Medium
